City,Metric,January,February,March,April,May,June,July,August,September,October,November,December
ADIYAMAN,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
AGRI,Ortalama Sıcaklık (°C),"-10,5","-9,1","-3,0","6,0","12,0","16,5","21,1","21,3","16,4","9,3","1,7","-6,3"
AGRI,Ortalama En Yüksek Sıcaklık (°C),"-5,3","-3,4","2,2","11,8","18,7","24,3","29,3","30,1","25,5","17,4","8,0","-1,6"
AGRI,Ortalama En Düşük Sıcaklık (°C),"-15,5","-14,4","-7,8","0,7","5,3","8,2","12,1","11,9","7,0","2,0","-3,5","-10,5"
AGRI,Ortalama Güneşlenme Süresi (saat),"2,3","3,1","4,3","5,8","7,6","9,6","10,3","9,8","9,0","6,6","4,3","2,3"
AGRI,Ortalama Yağışlı Gün Sayısı,"11,63","11,23","12,32","14,21","15,51","10,01","5,68","3,86","4,32","8,85","8,35","10,75"
AGRI,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","43,6","47,4","52,8","70,5","69,8","43,7","21,6","12,6","18,4","53,0","46,5","44,0"
AGRI,,Ölçüm Periyodu ( 1940 - 2023)
AGRI,En Yüksek Sıcaklık (°C),"9,6","13,0","21,5","27,2","32,7","37,9","39,8","39,9","35,3","29,2","19,8","16,0"
AGRI,En Düşük Sıcaklık (°C),"-43,8","-42,8","-39,6","-22,2","-9,0","-3,0","1,7","0,0","-4,1","-13,0","-31,6","-39,8"
AGRI,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
AKSARAY,Ortalama Sıcaklık (°C),"0,5","2,0","6,4","11,5","16,2","20,2","23,5","23,3","18,8","13,4","7,3","2,7"
AKSARAY,Ortalama En Yüksek Sıcaklık (°C),"5,5","7,5","12,5","18,1","23,1","27,1","30,7","30,8","26,7","21,0","13,8","7,8"
AKSARAY,Ortalama En Düşük Sıcaklık (°C),"-3,6","-2,2","1,3","5,6","9,7","13,1","16,2","16,0","11,4","6,9","2,0","-1,3"
AKSARAY,Ortalama Güneşlenme Süresi (saat),"3,2","4,5","5,6","7,0","9,0","11,0","12,1","11,4","9,7","7,1","5,0","3,2"
AKSARAY,Ortalama Yağışlı Gün Sayısı,"9,88","9,93","10,67","10,55","10,38","6,29","1,55","1,46","2,78","5,46","7,12","10,48"
AKSARAY,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","40,2","34,8","41,1","45,6","43,3","29,4","7,0","5,3","12,1","23,3","31,7","45,9"
AKSARAY,,Ölçüm Periyodu ( 1929 - 2023)
AKSARAY,En Yüksek Sıcaklık (°C),"20,4","21,8","29,0","31,8","34,4","36,9","40,0","40,8","38,7","34,5","29,5","22,0"
AKSARAY,En Düşük Sıcaklık (°C),"-26,4","-29,0","-19,0","-7,5","-0,2","2,9","6,8","5,9","1,0","-6,0","-14,0","-21,9"
AKSARAY,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
AMASYA,Ortalama Sıcaklık (°C),"2,6","4,5","8,3","13,4","17,6","21,3","23,8","23,9","20,0","14,7","8,6","4,6"
AMASYA,Ortalama En Yüksek Sıcaklık (°C),"7,0","9,8","14,5","20,4","25,1","28,7","31,1","31,6","27,9","21,9","14,7","8,9"
AMASYA,Ortalama En Düşük Sıcaklık (°C),"-0,8","0,3","3,1","7,2","11,1","14,5","16,7","16,8","13,0","8,7","4,0","1,4"
AMASYA,Ortalama Güneşlenme Süresi (saat),"2,3","3,3","4,5","6,0","7,4","8,8","9,7","9,3","7,5","5,0","3,4","2,1"
AMASYA,Ortalama Yağışlı Gün Sayısı,"12,22","11,10","12,63","13,13","13,03","9,10","3,29","2,62","4,70","7,89","9,21","12,54"
AMASYA,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","50,5","36,9","48,9","54,1","54,2","40,9","16,5","10,1","19,6","34,2","43,1","54,8"
AMASYA,,Ölçüm Periyodu ( 1961 - 2023)
AMASYA,En Yüksek Sıcaklık (°C),"23,5","24,8","31,2","35,8","37,9","41,8","45,0","42,2","43,5","36,0","29,7","22,9"
AMASYA,En Düşük Sıcaklık (°C),"-21,0","-20,4","-15,3","-5,1","-0,1","4,8","8,5","8,8","3,0","-2,9","-9,5","-12,7"
AMASYA,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
ANKARA,Ortalama Sıcaklık (°C),"0,3","1,7","5,7","11,3","16,1","20,0","23,4","23,5","19,0","13,2","7,3","2,6"
ANKARA,Ortalama En Yüksek Sıcaklık (°C),"4,3","6,5","11,5","17,4","22,4","26,6","30,3","30,5","26,1","20,0","13,1","6,6"
ANKARA,Ortalama En Düşük Sıcaklık (°C),"-3,2","-2,2","0,7","5,4","9,7","13,0","15,9","16,1","11,9","7,2","2,6","-0,7"
ANKARA,Ortalama Güneşlenme Süresi (saat),"2,6","3,8","5,0","6,4","8,2","9,8","11,1","10,6","9,1","6,7","4,6","2,6"
ANKARA,Ortalama Yağışlı Gün Sayısı,"12,20","11,11","10,77","11,12","12,32","8,89","3,52","2,72","4,02","6,85","8,15","11,67"
ANKARA,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","39,9","35,1","39,7","41,8","51,4","36,7","14,1","12,7","17,9","27,1","31,8","44,2"
ANKARA,,Ölçüm Periyodu ( 1927 - 2023)
ANKARA,En Yüksek Sıcaklık (°C),"18,4","21,3","27,8","31,6","34,4","37,0","41,0","40,5","39,1","33,3","24,7","20,4"
ANKARA,En Düşük Sıcaklık (°C),"-24,9","-24,2","-19,2","-7,2","-1,6","3,8","4,5","5,5","-1,5","-9,8","-17,5","-24,2"
ANKARA,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
ANTALYA,Ortalama Sıcaklık (°C),"10,0","10,7","12,9","16,4","20,6","25,3","28,6","28,4","25,3","20,6","15,5","11,7"
ANTALYA,Ortalama En Yüksek Sıcaklık (°C),"14,9","15,6","18,0","21,4","25,7","30,7","34,2","34,1","31,2","26,6","21,3","16,7"
ANTALYA,Ortalama En Düşük Sıcaklık (°C),"6,0","6,4","8,1","11,3","15,3","19,7","22,8","22,8","19,5","15,3","10,9","7,7"
ANTALYA,Ortalama Güneşlenme Süresi (saat),"5,1","5,8","6,7","8,0","9,8","11,4","11,8","11,3","9,8","7,9","6,3","4,9"
ANTALYA,Ortalama Yağışlı Gün Sayısı,"12,50","10,45","8,63","6,51","5,22","2,56","0,53","0,55","1,71","5,45","7,49","11,91"
ANTALYA,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","234,5","150,2","92,1","49,0","34,3","11,0","4,4","4,3","16,9","70,9","129,7","256,1"
ANTALYA,,Ölçüm Periyodu ( 1930 - 2023)
ANTALYA,En Yüksek Sıcaklık (°C),"23,9","26,7","28,6","36,4","41,7","44,8","45,0","44,6","42,5","41,2","33,0","25,4"
ANTALYA,En Düşük Sıcaklık (°C),"-4,3","-4,6","-1,6","1,4","6,7","11,1","14,8","13,6","10,3","4,9","0,0","-1,9"
ANTALYA,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
ARDAHAN,Ortalama Sıcaklık (°C),"-11,2","-10,0","-3,4","4,4","9,3","12,8","16,0","16,0","12,0","6,4","-0,2","-7,6"
ARDAHAN,Ortalama En Yüksek Sıcaklık (°C),"-4,8","-3,1","2,8","10,9","16,3","20,4","24,0","24,7","20,8","14,4","6,5","-1,8"
ARDAHAN,Ortalama En Düşük Sıcaklık (°C),"-16,6","-15,6","-8,7","-1,1","3,2","6,0","8,9","8,6","4,5","0,0","-5,4","-12,4"
ARDAHAN,Ortalama Güneşlenme Süresi (saat),"2,8","3,8","4,9","5,2","6,3","7,7","8,3","8,2","7,0","5,3","3,8","2,6"
ARDAHAN,Ortalama Yağışlı Gün Sayısı,"9,44","9,55","11,88","13,59","16,82","15,61","11,45","10,88","7,92","9,68","8,88","9,73"
ARDAHAN,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","19,8","20,7","32,0","51,2","82,3","93,8","69,9","62,2","35,9","37,1","28,4","22,5"
ARDAHAN,,Ölçüm Periyodu ( 1958 - 2023)
ARDAHAN,En Yüksek Sıcaklık (°C),"11,1","11,0","18,4","25,0","28,9","33,1","34,3","35,0","32,1","26,0","18,7","14,3"
ARDAHAN,En Düşük Sıcaklık (°C),"-39,8","-38,7","-33,2","-19,0","-8,5","-4,5","-2,2","-2,8","-5,8","-15,0","-28,9","-36,3"
ARDAHAN,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
ARTVIN,Ortalama Sıcaklık (°C),"2,7","3,8","7,0","11,9","15,9","18,8","20,9","21,2","18,3","14,2","9,1","4,5"
ARTVIN,Ortalama En Yüksek Sıcaklık (°C),"6,4","8,4","12,4","17,9","21,9","24,3","25,8","26,4","24,0","19,7","13,5","8,0"
ARTVIN,Ortalama En Düşük Sıcaklık (°C),"-0,1","0,5","3,0","7,2","11,2","14,4","16,9","17,3","14,3","10,3","5,8","1,8"
ARTVIN,Ortalama Güneşlenme Süresi (saat),"2,4","3,4","4,2","5,2","6,3","7,0","6,7","6,8","6,3","4,7","3,2","2,1"
ARTVIN,Ortalama Yağışlı Gün Sayısı,"13,00","12,76","13,56","12,79","14,13","12,79","8,24","8,17","8,61","10,99","11,00","11,73"
ARTVIN,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","84,6","71,5","60,8","53,2","53,1","49,2","31,1","29,1","37,9","60,4","75,1","85,6"
ARTVIN,,Ölçüm Periyodu ( 1949 - 2023)
ARTVIN,En Yüksek Sıcaklık (°C),"18,9","21,5","28,4","34,4","36,7","39,0","42,0","43,0","41,5","33,9","27,9","20,9"
ARTVIN,En Düşük Sıcaklık (°C),"-16,1","-11,9","-9,8","-7,1","-0,6","3,7","9,5","9,5","4,2","-1,6","-8,2","-10,8"
ARTVIN,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
AYDIN,Ortalama Sıcaklık (°C),"8,2","9,4","11,8","16,0","20,9","25,6","28,3","27,7","23,8","18,7","13,6","9,6"
AYDIN,Ortalama En Yüksek Sıcaklık (°C),"13,1","14,8","17,9","22,8","28,3","33,4","36,3","35,9","32,1","26,3","19,9","14,6"
AYDIN,Ortalama En Düşük Sıcaklık (°C),"4,3","5,1","6,7","10,1","14,3","18,2","20,6","20,4","16,9","12,8","8,9","5,8"
AYDIN,Ortalama Güneşlenme Süresi (saat),"3,7","4,2","5,4","6,4","7,8","9,3","9,9","9,3","8,2","6,2","4,3","3,5"
AYDIN,Ortalama Yağışlı Gün Sayısı,"12,89","10,31","9,80","8,33","6,27","2,61","0,73","0,60","2,00","5,52","8,31","12,78"
AYDIN,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","119,1","91,3","70,8","47,6","36,5","16,9","7,4","5,6","17,6","43,0","82,3","122,6"
AYDIN,,Ölçüm Periyodu ( 1941 - 2023)
AYDIN,En Yüksek Sıcaklık (°C),"23,2","27,4","32,4","35,4","42,6","44,4","44,8","45,1","43,3","39,5","31,1","25,9"
AYDIN,En Düşük Sıcaklık (°C),"-11,0","-5,4","-5,0","-0,8","4,6","8,4","13,4","11,8","7,6","1,6","-4,7","-5,3"
AYDIN,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
BALIKESIR,Ortalama Sıcaklık (°C),"4,7","6,1","8,8","12,8","17,8","22,6","25,5","25,6","21,3","16,0","10,4","6,4"
BALIKESIR,Ortalama En Yüksek Sıcaklık (°C),"9,2","11,3","15,0","19,8","25,3","29,9","32,5","32,6","28,8","22,8","16,8","10,9"
BALIKESIR,Ortalama En Düşük Sıcaklık (°C),"0,9","1,7","3,3","6,3","10,5","15,1","18,0","18,6","14,3","10,0","5,4","2,6"
BALIKESIR,Ortalama Güneşlenme Süresi (saat),"3,0","4,0","5,1","6,7","8,6","10,1","11,1","10,1","8,0","6,1","4,1","2,7"
BALIKESIR,Ortalama Yağışlı Gün Sayısı,"13,72","12,44","11,72","9,80","7,60","5,76","1,04","1,36","4,12","7,12","8,96","12,04"
BALIKESIR,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","86,3","77,7","64,0","56,7","37,7","34,6","11,6","4,8","28,2","47,9","76,1","78,9"
BALIKESIR,,Ölçüm Periyodu ( 1999 - 2023)
BALIKESIR,En Yüksek Sıcaklık (°C),"23,5","25,2","29,6","33,1","37,8","42,5","43,2","43,2","40,3","38,3","31,2","26,1"
BALIKESIR,En Düşük Sıcaklık (°C),"-11,9","-18,8","-7,1","-4,0","1,1","5,0","11,0","9,4","3,2","-1,6","-7,9","-10,1"
BALIKESIR,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
BARTIN,Ortalama Sıcaklık (°C),"4,1","4,9","7,3","11,4","15,8","19,8","22,0","21,9","18,0","13,9","9,3","5,9"
BARTIN,Ortalama En Yüksek Sıcaklık (°C),"9,4","10,7","13,4","18,1","22,4","26,2","28,3","28,5","25,2","20,7","16,1","11,4"
BARTIN,Ortalama En Düşük Sıcaklık (°C),"0,4","0,7","2,5","6,0","10,0","13,6","15,8","15,8","12,2","8,9","4,7","2,1"
BARTIN,Ortalama Güneşlenme Süresi (saat),"2,3","3,2","4,3","5,9","7,3","8,8","9,9","9,4","7,5","5,2","3,7","2,4"
BARTIN,Ortalama Yağışlı Gün Sayısı,"16,45","14,65","14,15","12,05","10,50","9,03","6,92","6,42","8,55","11,77","13,00","17,23"
BARTIN,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","119,5","87,5","79,5","59,5","54,4","77,3","64,4","75,1","84,9","107,7","117,4","131,7"
BARTIN,,Ölçüm Periyodu ( 1961 - 2023)
BARTIN,En Yüksek Sıcaklık (°C),"25,0","27,2","31,6","34,1","39,1","38,0","42,8","41,3","40,5","37,1","31,2","27,7"
BARTIN,En Düşük Sıcaklık (°C),"-15,4","-18,6","-13,1","-4,5","-1,3","5,3","8,0","6,7","1,5","-3,2","-5,6","-10,6"
BARTIN,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
BATMAN,Ortalama Sıcaklık (°C),"2,5","4,6","9,2","14,4","19,4","26,0","30,2","29,6","24,3","17,4","9,7","4,4"
BATMAN,Ortalama En Yüksek Sıcaklık (°C),"7,8","10,7","15,9","21,7","27,8","35,1","39,5","39,5","34,6","26,7","17,0","9,7"
BATMAN,Ortalama En Düşük Sıcaklık (°C),"-1,5","0,0","3,7","7,9","11,4","15,9","20,3","19,7","15,0","10,1","4,2","0,5"
BATMAN,Ortalama Güneşlenme Süresi (saat),"3,3","4,7","5,5","7,4","9,2","11,6","12,0","11,2","9,9","7,1","5,2","3,0"
BATMAN,Ortalama Yağışlı Gün Sayısı,"11,15","10,43","11,91","11,28","8,42","2,17","0,40","0,37","1,08","5,80","7,54","10,11"
BATMAN,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","60,4","64,7","76,3","72,7","46,5","8,5","1,7","1,9","4,8","34,0","55,0","62,4"
BATMAN,,Ölçüm Periyodu ( 1959 - 2023)
BATMAN,En Yüksek Sıcaklık (°C),"18,6","24,6","30,6","35,8","42,0","45,1","48,8","46,2","43,8","37,0","28,6","22,6"
BATMAN,En Düşük Sıcaklık (°C),"-24,0","-22,2","-17,0","-9,0","0,9","0,0","11,8","11,5","4,4","-3,0","-7,6","-23,0"
BATMAN,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
BAYBURT,Ortalama Sıcaklık (°C),"-6,2","-4,9","0,5","7,0","11,6","15,3","18,8","18,9","14,8","9,4","2,8","-3,0"
BAYBURT,Ortalama En Yüksek Sıcaklık (°C),"-0,8","0,7","6,0","13,2","18,4","22,9","27,2","27,8","23,7","16,9","8,9","2,0"
BAYBURT,Ortalama En Düşük Sıcaklık (°C),"-10,4","-9,2","-4,0","1,8","5,7","8,5","11,2","11,1","7,4","3,6","-1,7","-6,8"
BAYBURT,Ortalama Güneşlenme Süresi (saat),"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
BAYBURT,Ortalama Yağışlı Gün Sayısı,"11,12","10,97","12,94","13,94","15,78","10,68","5,05","4,40","4,97","8,75","8,91","10,97"
BAYBURT,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","26,8","27,8","43,3","62,9","72,3","51,8","21,0","16,0","21,9","43,2","33,3","29,6"
BAYBURT,,Ölçüm Periyodu ( 1959 - 2023)
BAYBURT,En Yüksek Sıcaklık (°C),"11,0","13,9","21,2","25,3","31,3","34,7","37,0","38,4","34,4","28,8","20,7","18,2"
BAYBURT,En Düşük Sıcaklık (°C),"-31,3","-27,6","-28,3","-12,7","-4,4","-1,6","0,2","2,4","-2,1","-10,6","-23,6","-29,0"
BAYBURT,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
BILECIK,Ortalama Sıcaklık (°C),"2,5","3,7","6,4","11,5","16,1","19,9","22,1","22,1","18,5","13,9","9,2","4,7"
BILECIK,Ortalama En Yüksek Sıcaklık (°C),"6,0","7,9","11,4","17,1","22,0","25,8","28,4","28,7","24,9","19,4","13,6","8,1"
BILECIK,Ortalama En Düşük Sıcaklık (°C),"-0,3","0,4","2,4","6,7","10,9","14,2","16,3","16,5","13,2","9,6","5,6","1,9"
BILECIK,Ortalama Güneşlenme Süresi (saat),"3,0","3,7","4,7","6,2","8,0","9,5","10,5","9,9","8,1","5,5","4,0","2,8"
BILECIK,Ortalama Yağışlı Gün Sayısı,"14,33","13,05","13,14","10,93","10,40","8,11","3,93","3,47","5,15","8,38","9,82","13,21"
BILECIK,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","50,2","42,7","47,4","42,0","47,4","43,1","19,7","13,6","22,6","39,5","37,2","55,2"
BILECIK,,Ölçüm Periyodu ( 1939 - 2023)
BILECIK,En Yüksek Sıcaklık (°C),"22,3","24,6","30,2","33,3","36,6","38,2","41,0","40,6","38,4","34,3","28,6","25,0"
BILECIK,En Düşük Sıcaklık (°C),"-16,0","-14,3","-11,6","-6,0","1,0","6,0","7,7","8,2","3,2","-0,8","-9,2","-14,5"
BILECIK,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
BINGOL,Ortalama Sıcaklık (°C),"-2,2","-1,1","4,2","10,8","16,2","22,0","26,7","26,5","21,3","14,3","6,8","0,8"
BINGOL,Ortalama En Yüksek Sıcaklık (°C),"2,4","3,9","9,6","16,8","22,9","29,4","34,6","34,8","29,8","21,7","12,7","5,3"
BINGOL,Ortalama En Düşük Sıcaklık (°C),"-5,8","-4,9","-0,1","5,8","10,2","14,8","19,0","18,7","13,7","8,3","2,3","-2,7"
BINGOL,Ortalama Güneşlenme Süresi (saat),"3,4","4,5","4,8","5,5","7,1","9,0","9,4","9,0","8,1","6,1","4,5","3,2"
BINGOL,Ortalama Yağışlı Gün Sayısı,"12,84","12,38","14,08","14,86","13,65","5,48","1,76","1,37","2,46","8,27","9,27","12,65"
BINGOL,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","138,6","128,8","133,3","116,5","77,6","20,6","7,1","4,3","12,5","65,0","108,3","135,0"
BINGOL,,Ölçüm Periyodu ( 1961 - 2023)
BINGOL,En Yüksek Sıcaklık (°C),"13,8","16,2","22,3","30,3","33,9","38,0","42,0","41,3","38,1","32,1","25,5","22,8"
BINGOL,En Düşük Sıcaklık (°C),"-23,2","-21,6","-20,3","-9,2","1,0","3,5","8,8","7,8","4,2","-2,4","-15,0","-25,1"
BINGOL,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
BITLIS,Ortalama Sıcaklık (°C),"-4,4","-3,4","1,0","7,3","12,5","18,3","22,7","23,0","18,5","11,4","4,8","-1,2"
BITLIS,Ortalama En Yüksek Sıcaklık (°C),"-0,5","1,0","5,0","12,4","17,8","24,3","29,1","29,7","25,0","16,8","9,3","2,6"
BITLIS,Ortalama En Düşük Sıcaklık (°C),"-8,3","-7,4","-2,6","2,7","7,2","11,6","15,7","16,2","11,7","6,6","1,2","-4,5"
BITLIS,Ortalama Güneşlenme Süresi (saat),"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
BITLIS,Ortalama Yağışlı Gün Sayısı,"15,00","12,17","17,42","13,75","14,17","5,17","2,42","1,75","2,25","10,00","10,08","12,92"
BITLIS,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","162,5","113,1","209,5","114,5","100,1","16,7","7,8","8,3","20,5","94,5","91,7","142,3"
BITLIS,,Ölçüm Periyodu ( 2012 - 2023)
BITLIS,En Yüksek Sıcaklık (°C),"10,1","21,9","16,7","22,3","27,4","31,5","34,6","34,3","34,0","26,4","21,7","13,3"
BITLIS,En Düşük Sıcaklık (°C),"-24,1","-21,3","-20,3","-10,0","0,1","5,2","8,1","9,9","0,0","-0,6","-10,0","-20,8"
BITLIS,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
BOLU,Ortalama Sıcaklık (°C),"0,5","1,8","4,7","9,6","14,1","17,3","19,8","20,0","16,2","11,8","6,9","2,8"
BOLU,Ortalama En Yüksek Sıcaklık (°C),"5,3","7,2","11,0","16,6","21,4","24,6","27,4","28,0","24,3","19,3","13,3","7,5"
BOLU,Ortalama En Düşük Sıcaklık (°C),"-3,5","-2,6","-0,5","3,6","7,6","10,4","12,4","12,7","9,5","6,2","2,1","-1,1"
BOLU,Ortalama Güneşlenme Süresi (saat),"2,0","2,9","4,0","5,3","6,7","8,0","8,9","8,7","6,9","4,8","3,4","2,1"
BOLU,Ortalama Yağışlı Gün Sayısı,"15,53","14,42","14,72","13,41","14,03","11,94","6,16","5,19","7,17","10,57","11,84","14,73"
BOLU,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","57,7","48,7","50,9","50,8","60,4","59,9","28,3","24,7","28,3","41,0","45,9","58,8"
BOLU,,Ölçüm Periyodu ( 1929 - 2023)
BOLU,En Yüksek Sıcaklık (°C),"19,8","24,1","29,3","31,8","34,6","37,0","39,3","42,8","38,5","34,4","27,0","23,5"
BOLU,En Düşük Sıcaklık (°C),"-31,5","-25,8","-19,8","-11,5","-2,3","0,0","2,8","1,4","-2,5","-5,8","-24,8","-29,1"
BOLU,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
BURDUR,Ortalama Sıcaklık (°C),"2,6","3,8","6,9","11,7","16,5","21,0","24,6","24,6","20,2","14,5","8,9","4,3"
BURDUR,Ortalama En Yüksek Sıcaklık (°C),"6,8","8,8","12,6","17,8","23,1","28,0","32,0","32,3","27,9","21,5","14,5","8,5"
BURDUR,Ortalama En Düşük Sıcaklık (°C),"-0,9","-0,3","1,9","6,1","10,2","14,0","17,0","17,0","12,9","8,4","4,1","0,9"
BURDUR,Ortalama Güneşlenme Süresi (saat),"3,8","5,0","5,9","7,0","8,9","10,7","11,8","11,0","9,2","7,3","5,5","3,4"
BURDUR,Ortalama Yağışlı Gün Sayısı,"11,28","9,64","10,05","9,48","9,64","6,30","2,80","2,22","3,13","6,02","7,06","11,02"
BURDUR,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","56,5","40,8","45,4","42,5","46,3","30,5","12,9","9,3","15,7","31,7","36,4","60,1"
BURDUR,,Ölçüm Periyodu ( 1932 - 2023)
BURDUR,En Yüksek Sıcaklık (°C),"16,8","23,4","27,8","30,7","35,4","38,7","41,0","41,6","39,0","33,6","26,5","20,5"
BURDUR,En Düşük Sıcaklık (°C),"-16,7","-15,0","-11,6","-7,0","-0,4","3,8","9,0","8,8","3,4","-2,4","-12,0","-15,3"
BURDUR,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
BURSA,Ortalama Sıcaklık (°C),"5,4","6,2","8,4","12,9","17,7","22,0","24,5","24,4","20,3","15,6","11,1","7,4"
BURSA,Ortalama En Yüksek Sıcaklık (°C),"9,6","10,9","13,8","19,0","23,9","28,3","30,9","31,1","27,2","22,0","16,6","11,7"
BURSA,Ortalama En Düşük Sıcaklık (°C),"1,7","2,2","3,6","7,2","11,4","15,0","17,3","17,3","13,8","10,2","6,4","3,6"
BURSA,Ortalama Güneşlenme Süresi (saat),"2,8","3,4","4,2","5,8","7,8","9,7","10,7","10,0","7,9","5,5","4,0","2,9"
